country,year,party_id,party,vote,seat,epvote,family,eu_position,eu_intmark,eu_foreign,lrgen,lrecon,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,urban_rural,environment,regions,ethnic_minorities,nationalism,russian_interference,anti_islam_rhetoric
20,2024,2018,DB,6.8,7.5,7.2249999,7,6.9285712,6.8000002,5.8888888,6.2800002,6.7857141,4.8000002,6.909091,6.0,2.6428571,2.44949495,3.5454545,4.9583335,3.6666667,1.8461539,2.9166667,3.8571429,2.2727273,2.0,2.25,1.3
20,2024,2019,ITN,6.56,7.5,6.04,1,4.3703704,4.0,2.5555556,6.6399999,5.1111112,5.6666665,5.1999998,5.5,7.5384617,7.0208335,5.25,8.608696,7.8499999,4.8333335,6.5555553,6.0,7.6666665,7.0999999,6.125,3.5
20,2024,2020,Vazrazhdane,12.92,14.58333333333333,13.98,1,1.4642857,1.5,1.2222222,8.1999998,3.8399999,4.4615383,3.5,3.5714285,9.2857141,8.70000005,6.75,9.5600004,9.652174,6.2307692,7.5999999,6.3333335,9.5384617,9.909091,9.0,5.6999998
20,2024,2021,PP,6.9,7.916666666666666,7.2249999,7,6.8928571,6.8000002,5.7777777,5.1199999,5.1071429,4.4666667,5.4545455,4.6153846,2.5714285,2.5454545,3.8,4.625,3.7083333,2.3846154,3.0,4.0,2.6666667,2.2727273,2.5,1.2
20,2024,2022,DPS - Novo nachalo,11.17,12.5,,3,5.814815,6.4000001,4.5,5.25,5.4583335,4.3333335,5.1999998,4.9166665,6.0,5.1875,4.7777777,5.6111112,3.2631578,7.3571429,4.875,4.0,0.75,3.5555556,3.625,1.2
20,2024,2023,MECh,4.44,5.0,2.54,1,3.2272727,2.3333333,2.2857144,5.8947368,4.1333332,6.375,3.4285715,4.5,8.6923075,7.4732144,5.3000002,8.8500004,8.7894735,5.5999999,7.6666665,6.0,7.818182,8.5555553,6.75,3.5555556
20,2024,2024,Velichie,3.87,0.0,4.0700002,1,2.7692308,2.5,2.1428571,6.3000002,4.2352943,5.6666665,4.5,4.5294118,8.7692308,7.91666675,6.2727275,8.9523811,8.9499998,7.7272725,7.5,6.0,8.727273,8.6999998,7.875,4.1111112
21,2024,2101,SOCDEM,4.66,0.0,1.86,5,5.0731707,4.5999999,3.5999999,2.7692308,2.390244,3.1176472,2.7333333,2.090909,5.1111112,3.57291665,2.125,5.9411764,5.967742,5.0,4.8000002,5.1666665,4.1875,5.2105265,6.0999999,2.6111112
21,2024,2102,ODS,13.31,17.0,11.14,2,4.0,5.9166665,2.5833333,7.125,7.2439022,6.352941,6.875,7.1714287,5.5263157,6.039682600000001,4.5333333,7.1282053,7.647059,3.3076923,6.0,6.5384617,6.3125,6.5,1.3333334,3.0
21,2024,2103,KSCM,3.61,0.0,9.5600004,6,1.4772727,2.6666667,1.0,1.0789474,0.75609756,2.9411764,1.1333333,1.5,8.6842108,6.7072649,0.82352942,9.333333,8.9444447,6.3076925,8.0,7.818182,7.4375,8.75,9.166667,5.1111112
21,2024,2104,KDU-CSL,9.0,11.5,3.777,4,5.909091,5.0833335,4.8333335,6.0,5.3658538,4.4705882,5.0,4.742857,5.8947368,6.64682555,8.166667,6.5135136,7.1944447,7.4666667,4.647059,4.2666669,6.0,5.9499998,2.0,3.6666667
21,2024,2109,TOP09,5.48,7.000000000000001,7.4200001,2,6.4878049,5.9166665,5.8333335,6.875,7.2926831,6.4705882,6.75,6.9705882,3.6842105,3.2936507500000003,4.4375,5.1025643,5.3611112,2.8571429,3.5882354,5.0769229,4.3125,3.4000001,1.25,2.0
21,2024,2111,ANO2011,27.13,36.0,26.139999,9,3.0681818,4.9166665,1.7272727,4.2162161,3.8,5.4375,4.7333331,3.8,6.9473686,6.3849206,2.6923077,8.8461542,8.583333,6.6923075,7.6666665,7.2727275,7.5333333,7.8499999,6.5833335,4.4444447
21,2024,2114,Pirates,1.69,2.0,6.1999998,7,6.409091,6.25,5.7272725,4.1999998,4.4358974,3.5882354,5.0666666,4.40625,1.8888888,1.26587305,1.5294118,3.3157895,3.1142857,2.6153846,2.4705882,3.5714285,2.4117646,1.6,1.8333334,1.7777778
21,2024,2115,SPD,9.56,10.0,5.73,1,1.1136364,3.3333333,1.0,8.75,4.1025643,5.3571429,4.8461537,4.3235292,9.1578951,8.4743588,4.1538463,9.9230766,9.7567568,6.1666665,8.833333,8.25,9.7647057,9.8500004,8.545455,8.6111107
21,2024,2116,STAN,13.9,16.5,8.6999998,3,6.6428571,6.0,5.5,5.8000002,5.8499999,5.0,6.0,5.8000002,3.7894738,3.03571425,3.1333334,5.0810809,5.1111112,6.2857141,3.5882354,2.5333333,4.5714288,3.2,1.5833334,1.9444444
21,2024,2117,Přísaha,4.68,0.0,5.2600002,9,2.2439024,3.0,1.4545455,7.6666665,5.8400002,5.5999999,5.4444447,5.6666665,8.833333,7.54861115,3.3333333,9.1764708,9.0370369,4.8333335,8.416667,7.25,8.6153851,8.4375,7.375,6.1666665
