country,year,party_id,party,vote,epvote,family,eu_position,eu_foreign,lrgen,lrecon,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,regions,ethnic_minorities,environment,nationalism,mds1,mds2
1,2010,112,VB,7.76,9.85,1,2.666666507720947,5.128204822540283,9.857142448425291,7.933333396911621,5.277777512868245,2.0,7.428571224212646,3.8888888359069824,9.181818008422852,1.0,4.599999904632568,10.0,0.0909089999999999,8.3333334,0.8999996185302717,2.3333335,,-5.294518400735227,3.1649692979468944
1,2010,103,SPA,9.24,8.21,5,8.444444338480631,9.047618707021076,3.428571224212646,3.199999809265137,7.023809750874837,7.384615421295166,2.888888835906982,7.545454502105713,3.599999904632568,8.181818127632141,1.636363625526428,4.0,5.5,6.25,6.200000047683716,6.0833333,,2.532972650889434,-1.2097734357295062
1,2010,117,LDD,2.31,4.51,9,4.166666666666667,8.055555820465088,8.428571701049805,8.866666793823242,6.666666666666667,0.6153850555419922,8.333333015441895,1.6000003814697266,8.666666984558105,5.818181991577148,1.0,8.666666984558105,1.0,7.7272727,1.5555553436279297,2.25,,-2.7341068024506856,5.4973806940459715
1,2010,119,PVDA,0.14,0.61,6,2.307692368825277,4.761904875437419,0.2857142686843872,0.2000000476837158,4.722222089767457,9.818181812763214,0.1666666716337204,9.888888888061047,1.714285731315613,8.428571462631226,1.25,0.300000011920929,8.125,3.8571429000000004,8.142857193946838,5.375,,2.615892944051031,-5.834303653615692
1,2010,107,VLD,8.64,12.75,3,9.444444179534912,9.64285691579183,6.928571224212646,7.600000381469727,9.761904875437418,1.6153850555419922,7.0,3.8000001907348633,5.090909004211426,8.090909123420715,1.545454502105713,6.583333492279053,3.9166665,6.25,4.5,3.3333335,,0.9875887642342845,4.11743727208339
1,2010,109,CD&V,10.85,14.43,4,9.55555518468221,9.64285691579183,5.785714149475098,5.400000095367432,8.571428457895914,5.07692289352417,5.333333492279053,5.818181991577148,5.181818008422852,4.181818008422852,7.090909004211426,5.583333492279053,3.8333335,7.1666667,4.900000095367432,4.5,,0.002693947956871664,1.6399688430385828
1,2010,108,CDH,5.52,4.99,4,9.285714626312258,9.444444179534912,4.5,4.0,8.472222487131754,5.384615421295166,4.25,6.636363744735718,4.454545497894287,5.818181991577148,5.454545497894287,3.0,6.0833333,3.8333335,6.799999952316284,4.4545455,,1.641728853090979,0.42601430355287795
1,2010,105,Groen,4.38,4.9,7,8.666666348775228,8.214285373687742,2.285714387893677,2.333333253860474,5.476190249125163,8.076923131942749,2.0,8.181818127632141,2.181818246841431,9.09090906381607,2.545454502105713,1.416666626930237,7.75,5.5,8.399999976158142,8.9166666,,4.298896151785251,-2.4689970008789683
1,2010,102,PS,13.7,10.88,5,8.666666348775228,8.888889153798422,2.5,2.571428537368774,6.805555820465088,8.307692289352417,2.375,8.181818127632141,2.636363744735718,8.181818127632141,1.454545497894287,2.0,6.75,4.4166665,7.555555582046509,5.0833335,,3.4302502792611707,-1.8389468982291632
1,2010,110,NVA,17.4,6.13,8,7.222222487131755,8.71794859568278,7.571428298950195,7.800000190734863,8.472222487131754,1.9230766296386719,7.0,3.6999998092651367,7.181818008422852,3.7272725105285636,4.699999809265137,7.916666507720947,1.4166670000000003,8.3333334,3.0,2.909091,,-1.6671337453561859,4.139747650727075
1,2010,118,Spirit,0.1,0.4,3,7.083333333333333,3.5185186068216967,2.769230842590332,2.384615421295166,1.85185194015503,7.555555582046509,3.333333253860474,7.571428537368774,2.714285612106323,8.444444417953491,1.285714268684387,2.666666746139526,6.6666667,6.7777777,7.428571462631226,6.625,,2.069279125323631,-3.670410126510928
1,2010,104,ECOLO,4.8,8.55,7,8.333333333333334,8.472222487131754,2.285714387893677,2.142857074737549,5.972222487131755,8.461538434028625,2.222222328186035,8.399999976158142,2.272727251052856,8.818181872367859,2.272727251052856,1.0,8.0,4.25,8.600000023841858,8.9166666,,4.587613504745607,-2.455425452662487
1,2010,106,MR,9.28,9.74,3,9.444444179534912,9.444444179534912,7.0,7.615385055541992,9.722222487131754,2.5833334922790527,7.125,3.3636364936828613,5.454545497894287,6.636363744735718,2.272727251052856,5.666666507720947,4.1666665,3.9166665,5.300000190734863,3.0833335,,0.6087154443654168,3.9359120508004852
1,2010,115,FN,0.51,1.33,1,2.692307631174723,5.833333333333333,9.214285850524902,8.454545021057129,9.090909163157145,1.3333330154418945,7.25,3.4000000953674316,9.777777671813965,1.1111106872558594,4.285714149475098,10.0,0.1999998000000005,2.5999999000000003,0.0,2.8333335,,-5.12217280448706,4.07545472833313
