country,year,party_id,party,vote,seat,epvote,family,lrgen,lrecon,eu_position,eu_foreign,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,regions,environment,nationalism,region,leftgen,rightgen,leftecon,rightecon
20,2002,2004,DPS,7.5,8.8,0.0,3,-0.08999999999999986,-0.4500000000000002,9.25,7.666666666666667,8.049999999999999,,,,,,,,,,,,,East,0.08999999999999986,0.0,0.4500000000000002,0.0
20,2002,2005,G-VMRO,3.6,0.0,0.0,2,1.25,1.5700000000000003,6.466666666666666,4.666666666666667,5.0,,,,,,,,,,,,,East,0.0,1.25,0.0,1.5700000000000003
20,2002,2006,KSII,3.4,0.0,0.0,9,1.8600000000000003,1.29,7.783333333333334,7.216666666666666,8.333333333333334,,,,,,,,,,,,,East,0.0,1.8600000000000003,0.0,1.29
20,2006,2001,NDSV,22.9,22.1,0.0,3,1.08,1.5,9.483333333333334,8.183333333333334,9.5,3.4499998092651367,7.300000190734863,3.5500001907348633,4.829999923706055,5.78000020980835,4.199999809265137,5.329999923706055,4.5700002,5.25,5.1700001,,,East,0.0,1.08,0.0,1.5
20,2006,2002,ODS,7.7,8.3,0.0,2,2.08,2.5,9.483333333333334,8.333333333333334,9.333333333333334,3.0,7.599999904632568,3.2699999809265137,4.829999923706055,4.900000095367432,4.599999904632568,5.329999923706055,4.5,5.329999923706055,4.6700001,,,East,0.0,2.08,0.0,2.5
20,2006,2003,KzB,31.0,34.2,0.0,5,-1.69,-1.75,9.1,7.266666666666667,8.166666666666666,5.730000019073486,4.199999809265137,7.0,6.329999923706055,5.099999904632568,3.299999952316284,5.21999979019165,4.0,5.329999923706055,4.8299999,,,East,1.69,0.0,1.75,0.0
20,2006,2004,DPS,12.8,14.2,0.0,3,-0.41999999999999993,-1.0,8.883333333333333,7.583333333333333,7.5,6.269999980926514,4.110000133514404,6.450000047683716,5.269999980926514,3.3299999237060547,5.400000095367432,4.670000076293945,6.8699999,7.920000076293945,6.1400001,,,East,0.41999999999999993,0.0,1.0,0.0
20,2006,2007,NOA,8.2,8.8,0.0,1,0.45999999999999996,-1.75,2.433333333333333,3.8333333333333335,3.3333333333333335,7.359999895095825,3.200000047683716,7.730000019073486,9.170000076293944,0.6000003814697283,5.400000095367432,8.4399995803833,1.0,1.8299999237060547,4.5,,,East,0.0,0.45999999999999996,1.75,0.0
20,2006,2008,DSB,6.4,7.1,0.0,2,2.8499999999999996,2.83,8.966666666666667,8.333333333333334,9.333333333333334,2.2699999809265137,8.0,2.820000171661377,5.420000076293945,4.599999904632568,5.300000190734863,5.329999923706055,4.1199999,4.75,4.6700001,,,East,0.0,2.8499999999999996,0.0,2.83
20,2006,2009,BNS,5.2,5.4,0.0,9,0.7999999999999998,1.0,8.333333333333334,8.333333333333334,8.549999999999999,4.329999923706055,6.0,4.889999866485596,5.699999809265137,5.119999885559082,4.139999866485596,5.570000171661377,4.5700002,5.110000133514404,5.0,,,East,0.0,0.7999999999999998,0.0,1.0
20,2010,2001,NDSV,3.02,0.0,7.96,3,0.8181819915771484,1.1818180084228516,9.242424170176188,8.75,8.75,3.9000000953674316,7.125,3.1111111640930176,3.400000095367432,4.900000095367432,4.545454502105713,4.0,5.6666665,6.777777671813965,6.5714285,3.75,,East,0.0,0.8181819915771484,0.0,1.1818180084228516
20,2010,2002,ODS,3.4,3.2,3.975,2,2.0,2.454545021057129,9.545454184214273,8.75,9.375,2.6999998092651367,7.75,2.9000000953674316,4.090909004211426,6.0,4.545454502105713,4.166666507720947,5.0,6.2727272510528564,6.7142856,4.8571429,,East,0.0,2.0,0.0,2.454545021057129
20,2010,2003,KzB,17.7,16.7,18.5,5,-2.0,-2.454545497894287,8.333333333333334,7.5,7.083333333333333,7.363636255264282,2.555555582046509,6.599999904632568,5.181818008422852,4.300000190734863,3.545454502105713,5.375,3.5,4.818181991577148,3.1428570999999996,3.875,,East,2.0,0.0,2.454545497894287,0.0
20,2010,2004,DPS,14.5,15.8,14.14,3,-0.7272725105285636,-1.818181991577148,8.030303319295248,7.916666666666667,6.904761791229248,6.799999952316284,3.125,6.5,5.599999904632568,3.0,6.090909004211426,5.625,5.4000001,8.818181872367859,5.5,3.0,,East,0.7272725105285636,0.0,1.818181991577148,0.0
20,2010,2007,NOA,9.4,8.8,11.96,1,1.2727274894714364,-2.099999904632568,2.5,2.1428573131561284,2.9166666666666665,6.777777671813965,1.428571462631226,7.555555582046509,9.272727012634276,0.6999998092651367,6.636363506317139,8.625,1.1428575999999993,0.45454502105712713,3.1428570999999996,2.7142859,,East,0.0,1.2727274894714364,2.099999904632568,0.0
