country,year,party_id,party,vote,seat,epvote,family,lrgen,lrecon,eu_position,eu_foreign,eu_intmark,spendvtax,deregulation,redistribution,civlib_laworder,sociallifestyle,religious_principles,immigrate_policy,multiculturalism,ethnic_minorities,regions,environment,nationalism,mds1,mds2
26,2002,2601,SLD,38.1,43.5,0.0,5,-0.8700000000000001,-0.75,9.799999999999999,5.233333333333333,8.616666666666667,,,,,,,,,,,,,-0.5652208053524649,1.4530894477311516
26,2002,2602,UP,2.9,3.5,0.0,5,-2.0,-2.75,8.966666666666667,5.95,6.666666666666667,,,,,,,,,,,,,0.6984912746350385,1.7164508102434928
26,2002,2603,PO,12.7,14.1,0.0,4,1.88,3.380000000000001,9.583333333333334,5.95,8.616666666666667,,,,,,,,,,,,,-2.3340907672824924,-0.6842945134665526
26,2002,2604,S,10.2,11.5,0.0,11,0.5,-2.37,2.9166666666666665,1.6666666666666667,1.3333333333333333,,,,,,,,,,,,,2.8484886404791685,-1.6016596167301815
26,2002,2605,PiS,9.5,9.6,0.0,1,2.75,-0.3700000000000001,6.25,3.566666666666667,2.783333333333333,,,,,,,,,,,,,0.8682812189420501,-1.749354823783578
26,2002,2606,PSL,9.0,9.1,0.0,11,-0.6200000000000001,-2.5,5.216666666666666,3.8166666666666664,2.5,,,,,,,,,,,,,2.1399989996439577,-0.36592219653676766
26,2002,2607,LPR,7.9,8.3,0.0,10,4.25,-3.0,0.0,0.33333333333333326,0.8333333333333334,,,,,,,,,,,,,3.2709217587120376,-3.5965372738810446
26,2002,2608,AWSP,5.6,0.0,0.0,2,2.75,-0.6200000000000001,7.3,3.6666666666666665,4.166666666666667,,,,,,,,,,,,,0.46886026214593685,-1.441610540403824
26,2002,2609,UW,3.1,0.0,0.0,3,0.75,2.5,10.0,5.95,9.450000000000001,,,,,,,,,,,,,-2.334174701577161,-0.010729460289339226
26,2006,2605,PiS,27.0,33.7,12.7,1,2.76,-3.0,4.166666666666667,1.6666666666666667,3.8833333333333333,7.400000095367432,2.599999904632568,8.200000047683716,9.43000030517578,0.28999996185302734,9.43000030517578,5.670000076293945,2.3299999,3.0,2.0,,,2.8597183582731223,-4.8647556183574325
26,2006,2607,LPR,8.0,7.4,15.9,10,4.289999999999999,-3.83,0.6333333333333332,0.6666666666666665,0.8333333333333334,8.399999976158142,1.600000023841858,9.0,9.289999961853027,0.0,10.0,7.0,1.6700000999999993,1.0,3.75,,,3.958349099039758,-6.006832750269038
26,2010,2601,SLD,9.9,8.0,12.34,5,-2.214285612106323,-1.533333301544189,9.333333174387613,8.333333333333334,8.00000031789144,7.0,4.357142925262451,6.538461446762085,3.285714387893677,7.857142925262451,2.0,3.333333253860474,6.3333333,6.25,5.5454545,4.8333335,,-2.432984438395138,-0.8894397553322453
26,2010,2603,PO,41.51,45.4,44.43,4,1.0,1.6666665077209473,9.333333174387613,7.666666507720947,9.222222169240315,4.769230842590332,6.642857074737549,4.0,4.857142925262451,5.214285850524902,5.92307710647583,4.44444465637207,4.875,5.083333492279053,5.5833335,3.3333335,,0.9519019772878778,-2.201622427407787
26,2010,2604,S,1.53,0.0,1.46,11,-0.36363649368286133,-2.333333253860474,3.7878787517547603,3.1481480598449703,3.3333333333333335,8.100000023841858,2.818181753158569,8.090909123420715,7.0,2.090909004211426,6.583333492279053,7.125,2.0,3.5999999046325684,4.4444447,3.0,,1.3521264840928415,3.7841879369667484
26,2010,2605,PiS,32.11,36.1,27.4,1,3.0,-1.933333396911621,3.222222328186035,3.8888887564341235,5.44444481531779,6.538461446762085,3.5,6.846153736114502,8.357142448425293,0.5714282989501953,8.923076629638672,6.333333492279053,1.4444447,2.8333334922790527,3.4545455,2.6666665,,3.0758164269429007,3.2511283100609183
26,2010,2606,PSL,8.9,6.7,7.01,11,-0.0714287757873544,-0.9333333969116211,6.888888676961263,6.15384578704834,5.555555820465088,6.846153736114502,3.285714387893677,6.923076868057251,6.071428775787354,3.0,7.0,5.222222328186035,3.75,4.363636493682861,4.6666665,3.5833335,,0.8041029707199887,1.4361510020640702
26,2010,2607,LPR,1.3,0.0,0.0,10,4.25,-1.5,1.1111110448837282,1.00000003973643,2.5,6.909090995788574,3.083333253860474,6.5,8.833333015441895,0.4166669845581037,9.769230842590332,7.888888835906982,0.6666670000000003,1.9090909957885742,3.0,3.0999999000000003,,4.046199626906735,4.719764547094872
26,2010,2611,SDPL,2.5,2.2,0.0,5,-2.333333253860474,-1.5833334922790532,9.523809750874838,8.666666348775228,8.484848340352377,7.2727272510528564,4.416666507720947,6.666666746139526,2.818181753158569,7.916666746139526,1.692307710647583,3.125,7.0,6.599999904632568,6.3,5.1999998,,-2.9395077302090415,-1.2025830159025594
26,2010,2612,SD,0.74,0.0,0.0,3,-0.33333349227905273,1.25,9.444444179534912,9.333333174387613,9.523809750874838,4.142857074737549,6.285714149475098,3.5714287757873544,3.285714387893677,7.142857074737549,2.625,3.400000095367432,7.0,5.571428775787354,6.8333333,4.4285712,,-1.0239114006516088,-3.1957374687420246
26,2014,2601,SLD,8.2,5.9,7.5,5,-2.235294103622437,-1.8823528289794922,9.3137256304423,8.921568393707275,8.627451260884603,6.941176414489746,3.411764621734619,7.117647171020508,3.647058725357056,7.1875,2.470588207244873,3.333333253860474,7.4000001,6.8125,6.0588236,5.2941175,3.0588236,3.09563497441439,-0.3524973039097899
26,2014,2603,PO,39.2,45.0,32.1,4,0.7058825492858887,1.2941174507141113,9.215686321258545,9.215686321258545,9.3137256304423,4.176470756530762,6.529411792755127,4.176470756530762,4.529411792755127,5.4375,5.235294342041016,4.0,5.9000001,6.0,5.8235292,3.8823527999999996,3.8235295,0.9095473551127125,2.132621890877048
26,2014,2605,PiS,29.9,34.1,31.8,1,2.941176414489746,-1.941176414489746,4.705882469813028,5.196078618367513,6.274509429931641,6.6875,3.647058725357056,7.352941274642944,8.470588684082031,1.6875,8.529411315917969,6.199999809265137,2.0,2.9375,2.5294118,2.7058825000000004,8.1764708,-3.394220096713948,-1.8806885359971481
26,2014,2606,PSL,8.4,6.1,6.8,11,0.29411745071411133,-1.529411792755127,7.450980345408122,7.083333333333333,6.875,6.2352941036224365,3.411764621734619,6.470588207244873,5.882352828979492,3.1875,6.529411792755127,6.375,3.5,4.4375,5.875,4.0588236,6.4117646,-0.9202773775753922,-0.7377781328239614
26,2014,2613,RP,10.0,8.7,3.6,3,-2.470588207244873,-0.8125,9.509804248809814,9.375,9.270833333333334,5.785714149475098,6.0,5.866666793823242,1.470588207244873,9.5625,0.7058823704719543,2.166666746139526,8.7272727,7.9375,7.5384614,6.375,1.3529412,4.79528441494464,1.0894769760733647
26,2014,2614,KNP,1.1,0.0,7.2,2,4.529411315917969,4.588234901428224,0.09803930918375652,0.39215683937072826,4.270833333333333,0.47058868408203125,9.647058486938477,0.41176509857177557,8.058823585510254,0.875,6.0,8.399999618530273,0.0,1.4285717010498047,4.818182,1.8666668000000008,8.5882349,-6.6407976053150986,2.76703395220336
26,2014,2615,PR,0.2,0.0,3.2,2,2.6470589637756348,1.6666665077209473,5.0,5.833333333333333,6.666666666666667,3.625,7.3125,3.5999999046325684,6.307692527770996,2.8000001907348633,7.823529243469238,5.625,3.25,3.846153736114502,4.5,3.0666665999999996,7.1875,-2.6095566359571376,1.4181644788484153
26,2014,2616,SP,0.0,0.0,4.0,2,3.2941179275512695,-1.625,3.3333333333333335,3.9743590354919434,5.119047959645591,6.5333333015441895,3.375,6.75,8.5625,1.5625,8.823529243469238,7.44444465637207,1.0,2.3333334922790527,2.7692308,2.6923075,8.625,-4.113318936565172,-1.9339379021045495
26,2019,2601,SLD,4.73,5.3,0.0,5,-1.61904764175415,-1.095238208770752,9.285714626312258,7.5,8.14814805984497,6.8947367668151855,4.0,6.650000095367432,3.0,7.578947305679321,1.700000047683716,3.777777671813965,5.3333335,7.1052632331848145,6.5294118,5.5263157,2.9000001,-2.784862747310877,0.20174005564293562
